INSTRUMENT,INDUSTRY,NIFTY,BANKNIFTY
ACC,Cement,NA,NA
ADANIENT,Infra,NA,NA
ADANIPORTS,Infra,Nifty,NA
ADANIPOWER,Power,NA,NA
AMARAJABAT,Auto_Anc,NA,NA
AMBUJACEM,Cement,NA,NA
APOLLOHOSP,Others,NA,NA
APOLLOTYRE,Auto_Anc,NA,NA
ASHOKLEY,Auto,NA,NA
ASIANPAINT,FMCG,Nifty,NA
AUROPHARMA,Pharma,NA,NA
AXISBANK,PVTB,Nifty,BankNifty
BAJAJ-AUTO,Auto,Nifty,NA
BAJAJFINSV,NBFC,Nifty,NA
BAJFINANCE,NBFC,Nifty,NA
BALKRISIND,Auto_Anc,NA,NA
BANDHANBNK,PVTB,NA,NA
BANKBARODA,PSUB,NA,BankNifty
BATAINDIA,FMCG,NA,NA
BEL,Cap_Goods,NA,NA
BERGEPAINT,FMCG,NA,NA
BHARATFORG,Auto_Anc,NA,NA
BHARTIARTL,Telecom,Nifty,NA
BHEL,Cap_Goods,NA,NA
BIOCON,Pharma,NA,NA
BOSCHLTD,Auto_Anc,NA,NA
BPCL,Oil,Nifty,NA
BRITANNIA,FMCG,Nifty,NA
CADILAHC,Pharma,NA,NA
CANBK,PSUB,NA,NA
CENTURYTEX,FMCG,NA,NA
CESC,Power,NA,NA
CHOLAFIN,NBFC,NA,NA
CIPLA,Pharma,Nifty,NA
COALINDIA,Power,Nifty,NA
COLPAL,FMCG,NA,NA
CONCOR,Infra,NA,NA
CUMMINSIND,Cap_Goods,NA,NA
DABUR,FMCG,NA,NA
DIVISLAB,Pharma,NA,NA
DLF,Realty,NA,NA
DRREDDY,Pharma,Nifty,NA
EICHERMOT,Auto,Nifty,NA
EQUITAS,NBFC,NA,NA
ESCORTS,Auto,NA,NA
EXIDEIND,Auto_Anc,NA,NA
FEDERALBNK,PVTB,NA,BankNifty
GAIL,Oil,Nifty,NA
GLENMARK,Pharma,NA,NA
GMRINFRA,Infra,NA,NA
GODREJCP,FMCG,NA,NA
GODREJPROP,Realty,NA,NA
GRASIM,Cement,Nifty,NA
HAVELLS,FMCG,NA,NA
HCLTECH,IT,Nifty,NA
HDFC,NBFC,Nifty,NA
HDFCBANK,PVTB,Nifty,BankNifty
HDFCLIFE,NBFC,NA,NA
HEROMOTOCO,Auto,Nifty,NA
HINDALCO,Metal,Nifty,NA
HINDPETRO,Oil,NA,NA
HINDUNILVR,FMCG,Nifty,NA
IBULHSGFIN,NBFC,NA,NA
ICICIBANK,PVTB,Nifty,BankNifty
ICICIPRULI,NBFC,NA,NA
IDEA,Telecom,NA,NA
IDFCFIRSTB,PVTB,NA,BankNifty
IGL,Oil,NA,NA
INDIGO,Others,NA,NA
INDUSINDBK,PVTB,Nifty,BankNifty
INFRATEL,Telecom,Nifty,NA
INFY,IT,Nifty,NA
IOC,Oil,Nifty,NA
ITC,FMCG,Nifty,NA
JINDALSTEL,Metal,NA,NA
JSWSTEEL,Metal,Nifty,NA
JUBLFOOD,FMCG,NA,NA
JUSTDIAL,Others,NA,NA
KOTAKBANK,PVTB,Nifty,BankNifty
L&TFH,NBFC,NA,NA
LICHSGFIN,NBFC,NA,NA
LT,Cap_Goods,Nifty,NA
LUPIN,Pharma,NA,NA
M&M,Auto,Nifty,NA
M&MFIN,NBFC,NA,NA
MANAPPURAM,NBFC,NA,NA
MARICO,FMCG,NA,NA
MARUTI,Auto,Nifty,NA
MCDOWELL-N,FMCG,NA,NA
MFSL,NBFC,NA,NA
MGL,Oil,NA,NA
MINDTREE,IT,NA,NA
MOTHERSUMI,Auto_Anc,NA,NA
MRF,Auto_Anc,NA,NA
MUTHOOTFIN,NBFC,NA,NA
NATIONALUM,Metal,NA,NA
NAUKRI,IT,NA,NA
NCC,Infra,NA,NA
NESTLEIND,FMCG,Nifty,NA
NIITTECH,IT,NA,NA
NMDC,Metal,NA,NA
NTPC,Power,Nifty,NA
OIL,Oil,NA,NA
ONGC,Oil,Nifty,NA
PAGEIND,FMCG,NA,NA
PEL,Others,NA,NA
PETRONET,Oil,NA,NA
PFC,Power,NA,NA
PIDILITIND,FMCG,NA,NA
PNB,PSUB,NA,BankNifty
POWERGRID,Power,Nifty,NA
PVR,Media,NA,NA
RAMCOCEM,Cement,NA,NA
RBLBANK,PVTB,NA,BankNifty
RECLTD,Power,NA,NA
RELIANCE,Oil,Nifty,NA
SAIL,Metal,NA,NA
SBIN,PSUB,Nifty,BankNifty
SHREECEM,Cement,NA,NA
SIEMENS,Cap_Goods,NA,NA
SRF,Others,NA,NA
SRTRANSFIN,NBFC,NA,NA
SUNPHARMA,Pharma,Nifty,NA
SUNTV,Media,NA,NA
TATACHEM,Fertilizer,NA,NA
TATACONSUM,FMCG,NA,NA
TATAMOTORS,Auto,Nifty,NA
TATAPOWER,Power,NA,NA
TATASTEEL,Metal,Nifty,NA
TCS,IT,Nifty,NA
TECHM,IT,Nifty,NA
TITAN,FMCG,Nifty,NA
TORNTPHARM,Pharma,NA,NA
TORNTPOWER,Power,NA,NA
TVSMOTOR,Auto,NA,NA
UBL,FMCG,NA,NA
UJJIVAN,NBFC,NA,NA
ULTRACEMCO,Cement,Nifty,NA
UPL,Fertilizer,Nifty,NA
VEDL,Metal,Nifty,NA
VOLTAS,Cap_Goods,NA,NA
WIPRO,IT,Nifty,NA
YESBANK,PVTB,Nifty,BankNifty
ZEEL,Media,Nifty,NA
